obserwacja;dla_2_atrybutow;%_obserwacji_2;dla_3_atrybutow;%_obserwacji_3;dla_4_atrybutow;%_obserwacji_4;dla_5_atrybutow;%_obserwacji_5;dla_6_atrybutow;%_obserwacji_6;dla_7_atrybutow;%_obserwacji_7;dla_8_atrybutow;%_obserwacji_8;dla_9_atrybutow;%_obserwacji_9;dla_10_atrybutow;%_obserwacji_10;dla_11_atrybutow;%_obserwacji_11;dla_12_atrybutow;%_obserwacji_12;dla_wszystkich_kombinacji;%_obserwacji_caly_zbior
219;5;7.576;11;5.000;25;5.051;21;2.652;18;1.948;8;1.010;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;88;2.155
220;2;3.030;2;0.909;5;1.010;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;9;0.220
221;11;16.667;14;6.364;45;9.091;8;1.010;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;78;1.910
222;13;19.697;55;25.000;132;26.667;197;24.874;112;12.121;1;0.126;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;510;12.491
223;5;7.576;8;3.636;2;0.404;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;15;0.367
224;5;7.576;10;4.545;16;3.232;17;2.146;3;0.325;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;51;1.249
225;21;31.818;89;40.455;174;35.152;236;29.798;221;23.918;87;10.985;58;11.717;0;0.000;0;0.000;0;0.000;0;0.000;886;21.700
226;27;40.909;111;50.455;257;51.919;434;54.798;471;50.974;430;54.293;258;52.121;123;55.909;37;56.061;7;58.333;0;0.000;2155;52.780
227;15;22.727;45;20.455;64;12.929;70;8.838;49;5.303;28;3.535;4;0.808;0;0.000;0;0.000;0;0.000;0;0.000;275;6.735
229;19;28.788;79;35.909;232;46.869;452;57.071;618;66.883;599;75.631;414;83.636;201;91.364;64;96.970;12;100.000;1;100.000;2691;65.907
231;6;9.091;5;2.273;1;0.202;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;12;0.294
232;31;46.970;115;52.273;262;52.929;400;50.505;499;54.004;411;51.894;241;48.687;103;46.818;32;48.485;6;50.000;0;0.000;2100;51.433
233;1;1.515;1;0.455;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;2;0.049
234;17;25.758;31;14.091;53;10.707;42;5.303;5;0.541;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;148;3.625
235;1;1.515;2;0.909;7;1.414;4;0.505;2;0.216;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;16;0.392
236;7;10.606;7;3.182;4;0.808;3;0.379;2;0.216;1;0.126;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;24;0.588
